Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
MN 84 CE 1488,yes,5,Silver,04-09-2029,10-10-2026,New India Assurance,Tata Motors,ACTIVE,09-01-2017,MN,2009,personal,07-09-2027
MZ 34 ZR 7949,no,0,Yellow,24-03-2033,18-10-2023,SBI General,Tata Motors,DEACTIVE,19-02-2021,MZ,2020,commercial,08-03-2033
WB 74 DH 1662,yes,9,Green,27-11-2031,08-02-2031,HDFC ERGO,Toyota,DEACTIVE,17-05-2014,WB,2015,personal,15-04-2025
JK 39 CN 3377,yes,1,Black,06-07-2028,19-05-2028,Reliance General,Tata Motors,DEACTIVE,02-03-2020,JK,2016,personal,02-12-2023
HR 50 UG 7537,yes,3,Blue,19-04-2033,11-10-2023,ICICI LOMBARD,Maruti Suzuki,ACTIVE,26-09-2018,HR,2010,personal,16-06-2029
MN 77 VJ 6667,no,0,Black,13-05-2028,31-03-2028,SBI General,Tata Motors,DEACTIVE,14-03-2021,MN,2001,personal,26-10-2029
TN 85 BP 9025,no,0,Yellow,10-12-2027,17-02-2027,United India Insurance,Honda,ACTIVE,21-11-2017,TN,2013,personal,09-04-2031
GA 53 RX 4954,yes,9,Blue,26-12-2023,23-12-2023,SBI General,Tata Motors,DEACTIVE,18-01-2013,GA,2005,commercial,08-12-2032
HR 59 MK 5272,yes,1,Yellow,14-03-2029,12-03-2029,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,26-03-2010,HR,2015,commercial,12-08-2032
WB 19 HV 4495,no,0,Green,06-07-2024,29-11-2024,Future Generali,Hyundai,DEACTIVE,20-01-2021,WB,2020,commercial,12-12-2031
GA 61 OE 1833,no,0,Yellow,30-08-2025,16-05-2032,Bajaj Allianz,Toyota,DEACTIVE,28-03-2022,GA,2000,commercial,14-07-2025
JH 64 IN 3449,no,0,Black,24-11-2030,14-03-2027,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,23-10-2014,JH,2010,personal,30-03-2031
UP 99 RC 7504,yes,10,Green,09-01-2026,23-07-2030,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,10-11-2022,UP,2022,commercial,20-11-2025
PB 26 GC 6292,yes,3,Blue,14-06-2028,10-09-2032,New India Assurance,Honda,DEACTIVE,07-12-2014,PB,2020,personal,05-08-2026
UK 16 FM 4814,no,0,Yellow,15-03-2033,24-09-2030,Tata AIG,Tata Motors,DEACTIVE,01-04-2014,UK,2010,personal,16-11-2026
AP 46 QP 3029,yes,2,Black,02-01-2032,11-08-2029,Oriental Insurance,Hyundai,ACTIVE,13-02-2022,AP,2000,commercial,12-01-2031
WB 77 TK 7587,yes,1,Yellow,27-08-2029,19-05-2033,Oriental Insurance,Honda,ACTIVE,30-12-2016,WB,2019,commercial,05-08-2030
MZ 70 HK 3996,no,0,Black,29-12-2031,23-06-2030,Oriental Insurance,Toyota,ACTIVE,13-07-2022,MZ,2006,commercial,27-01-2025
RJ 16 XD 3372,yes,3,Yellow,29-03-2024,17-06-2025,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,08-08-2016,RJ,2002,commercial,23-03-2030
WB 36 TU 3093,yes,7,Blue,29-11-2026,11-02-2026,SBI General,Toyota,ACTIVE,16-11-2022,WB,2005,commercial,21-02-2025
UP 53 WK 6404,yes,6,Black,30-05-2024,18-10-2024,Oriental Insurance,Tata Motors,ACTIVE,04-07-2015,UP,2019,personal,26-12-2028
PB 94 AO 1200,no,0,White,31-01-2029,06-10-2031,HDFC ERGO,Hyundai,ACTIVE,01-02-2019,PB,2021,commercial,18-02-2032
JK 74 KJ 9120,yes,3,Red,11-04-2024,26-11-2030,Tata AIG,Tata Motors,ACTIVE,10-11-2012,JK,2006,personal,24-05-2027
OD 59 SX 5419,yes,6,Green,07-01-2024,07-05-2025,Oriental Insurance,Maruti Suzuki,DEACTIVE,22-11-2019,OD,2019,commercial,06-11-2031
NL 52 LJ 5686,yes,8,Black,26-04-2030,21-06-2032,SBI General,Hyundai,ACTIVE,03-06-2018,NL,2009,personal,07-09-2030
WB 81 TY 8716,yes,7,Red,07-07-2028,16-11-2032,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,09-04-2017,WB,2023,personal,27-11-2030
PB 70 RN 6943,yes,5,Silver,09-03-2032,28-12-2031,New India Assurance,Tata Motors,ACTIVE,07-10-2013,PB,2014,commercial,01-02-2030
AR 93 BT 6208,no,0,Green,06-05-2027,09-08-2024,New India Assurance,Toyota,DEACTIVE,13-11-2010,AR,2022,commercial,26-02-2026
GJ 25 NU 8065,yes,4,Silver,04-03-2029,22-07-2030,Reliance General,Tata Motors,ACTIVE,11-03-2021,GJ,2011,personal,15-07-2033
UP 80 OI 1115,no,0,Red,16-01-2026,09-07-2028,United India Insurance,Toyota,DEACTIVE,02-03-2012,UP,2003,commercial,15-11-2027
TN 19 KG 7402,yes,1,Blue,28-04-2031,19-09-2028,New India Assurance,Hyundai,ACTIVE,12-06-2017,TN,2021,personal,07-07-2031
MP 48 GM 5833,no,0,Red,10-05-2032,07-01-2024,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,21-09-2022,MP,2009,personal,06-07-2029
CG 91 JB 7179,yes,4,Silver,25-02-2031,31-01-2024,Reliance General,Honda,ACTIVE,29-08-2012,CG,2007,personal,23-11-2029
WB 29 EX 5269,yes,9,Blue,28-01-2024,19-03-2030,Tata AIG,Tata Motors,ACTIVE,19-07-2023,WB,2021,commercial,22-06-2031
BR 43 FX 3860,no,0,Red,28-05-2024,03-02-2028,Bajaj Allianz,Toyota,DEACTIVE,09-01-2017,BR,2008,personal,25-11-2027
AS 66 HH 9526,no,0,Blue,28-04-2027,25-02-2033,Future Generali,HERO MOTOCORP LTD,DEACTIVE,23-11-2015,AS,2012,commercial,03-10-2023
MP 90 XC 2401,no,0,Blue,04-02-2030,19-10-2032,SBI General,Toyota,DEACTIVE,13-10-2010,MP,2001,commercial,09-05-2027
OD 75 DC 1934,no,0,Black,27-06-2026,11-12-2023,Bajaj Allianz,Toyota,ACTIVE,17-11-2016,OD,2013,personal,01-09-2027
TN 65 RZ 4442,no,0,Black,11-07-2028,21-02-2027,United India Insurance,Toyota,ACTIVE,19-08-2016,TN,2007,personal,16-12-2032
KA 40 BI 3345,yes,4,White,14-10-2026,07-01-2033,Tata AIG,Toyota,DEACTIVE,02-05-2022,KA,2002,commercial,29-01-2029
KA 69 OA 3213,yes,7,Blue,05-01-2025,10-12-2028,Tata AIG,Honda,DEACTIVE,14-10-2015,KA,2006,commercial,26-06-2027
TS 12 AG 3435,no,0,Red,11-06-2032,25-06-2031,Bajaj Allianz,Tata Motors,ACTIVE,13-03-2010,TS,2007,commercial,23-08-2028
MH 22 PW 5424,no,0,Black,23-01-2031,30-08-2029,Oriental Insurance,Toyota,ACTIVE,19-07-2011,MH,2016,commercial,10-05-2032
NL 85 QP 6385,yes,9,Green,22-08-2023,28-11-2027,New India Assurance,Hyundai,DEACTIVE,17-05-2014,NL,2005,commercial,22-01-2026
GJ 20 DH 8988,no,0,White,13-01-2031,24-01-2025,New India Assurance,Tata Motors,DEACTIVE,11-09-2011,GJ,2016,commercial,15-06-2033
MN 38 HV 5508,yes,8,Green,27-02-2032,28-05-2026,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,14-08-2013,MN,2012,commercial,30-01-2026
OD 84 CY 3007,yes,7,White,29-09-2032,08-06-2025,Reliance General,Hyundai,ACTIVE,28-04-2012,OD,2014,commercial,08-10-2032
MH 17 ZS 9249,no,0,Red,13-08-2027,09-09-2028,Tata AIG,Toyota,ACTIVE,12-08-2022,MH,2006,personal,18-10-2023
KL 91 YZ 3274,yes,10,Silver,17-03-2031,18-02-2033,Oriental Insurance,Toyota,DEACTIVE,22-01-2016,KL,2019,commercial,10-06-2025
AR 95 AL 9761,no,0,Silver,10-11-2023,03-01-2027,Tata AIG,Tata Motors,DEACTIVE,24-05-2012,AR,2007,personal,06-08-2032
KL 89 UB 5277,no,0,Blue,14-11-2030,20-06-2032,Tata AIG,Hyundai,ACTIVE,04-12-2014,KL,2005,commercial,30-03-2027
OD 64 IB 6446,yes,9,Black,16-08-2026,27-03-2033,HDFC ERGO,Tata Motors,ACTIVE,27-03-2018,OD,2006,commercial,02-11-2029
KL 17 KU 3799,no,0,White,17-06-2027,30-06-2030,HDFC ERGO,Toyota,ACTIVE,13-09-2012,KL,2006,personal,02-05-2031
GJ 56 VZ 8892,yes,9,Green,21-03-2029,21-05-2026,Tata AIG,Hyundai,DEACTIVE,24-05-2015,GJ,2018,commercial,26-06-2033
MP 92 TF 2885,no,0,White,30-01-2031,21-02-2026,New India Assurance,Honda,DEACTIVE,23-07-2017,MP,2001,commercial,14-01-2033
CG 45 LO 9616,no,0,Green,15-10-2027,21-01-2025,Future Generali,HERO MOTOCORP LTD,ACTIVE,03-02-2015,CG,2000,personal,30-04-2032
SK 49 XP 8347,no,0,White,11-11-2025,22-02-2031,ICICI LOMBARD,Hyundai,DEACTIVE,02-07-2023,SK,2011,personal,04-03-2031
NL 28 UM 6504,no,0,Silver,27-11-2027,15-12-2024,Tata AIG,Honda,ACTIVE,27-09-2019,NL,2009,personal,08-03-2032
WB 26 VI 2898,no,0,White,27-05-2025,08-02-2028,Oriental Insurance,Hyundai,DEACTIVE,28-09-2020,WB,2023,commercial,15-03-2025
TR 78 FG 2559,no,0,Yellow,13-05-2033,28-12-2025,Bajaj Allianz,Hyundai,ACTIVE,10-07-2012,TR,2012,commercial,30-05-2032
AP 34 UT 8102,no,0,White,16-08-2032,13-06-2026,United India Insurance,Maruti Suzuki,ACTIVE,09-06-2018,AP,2021,commercial,05-09-2023
RJ 35 JT 6366,no,0,Black,25-12-2026,08-04-2025,Reliance General,Maruti Suzuki,ACTIVE,19-02-2016,RJ,2005,commercial,10-08-2030
HR 60 CB 8668,no,0,Blue,05-12-2030,25-05-2029,Tata AIG,Maruti Suzuki,DEACTIVE,29-02-2016,HR,2008,commercial,27-06-2026
MP 30 IP 2927,no,0,Blue,02-09-2029,05-03-2031,Bajaj Allianz,Maruti Suzuki,DEACTIVE,23-09-2015,MP,2008,personal,15-05-2025
RJ 83 EA 4479,yes,1,Black,06-12-2025,13-02-2031,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,11-11-2011,RJ,2012,personal,08-11-2031
SK 47 EC 6518,no,0,Blue,07-02-2028,19-06-2026,Oriental Insurance,Maruti Suzuki,DEACTIVE,18-01-2018,SK,2005,commercial,25-05-2027
NL 32 CA 2544,yes,6,Yellow,14-02-2024,04-12-2028,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,16-05-2010,NL,2014,commercial,03-07-2032
GJ 69 DV 9377,yes,9,Silver,14-04-2033,17-06-2033,Bajaj Allianz,Toyota,DEACTIVE,28-01-2010,GJ,2007,personal,17-02-2029
AS 40 CE 4898,no,0,Red,17-09-2023,06-10-2028,New India Assurance,Toyota,DEACTIVE,30-08-2014,AS,2003,commercial,25-10-2025
WB 81 BB 5494,yes,7,Silver,10-12-2027,20-05-2029,Future Generali,Maruti Suzuki,DEACTIVE,09-04-2017,WB,2000,personal,14-09-2024
PB 30 EC 9016,no,0,Red,06-06-2030,13-02-2024,New India Assurance,HERO MOTOCORP LTD,ACTIVE,07-10-2021,PB,2009,personal,07-12-2032
OD 22 AG 8105,no,0,Yellow,15-12-2027,21-03-2031,Oriental Insurance,Maruti Suzuki,ACTIVE,28-12-2022,OD,2005,personal,17-03-2031
MZ 17 XG 9371,yes,5,Blue,21-01-2032,07-08-2029,United India Insurance,Tata Motors,DEACTIVE,14-11-2022,MZ,2003,personal,11-10-2024
TR 96 GF 3071,no,0,Blue,16-12-2027,05-12-2029,Oriental Insurance,Hyundai,DEACTIVE,13-04-2012,TR,2009,personal,21-06-2024
UP 33 BM 1381,no,0,Black,22-01-2029,21-03-2033,ICICI LOMBARD,Toyota,ACTIVE,05-06-2014,UP,2001,commercial,23-12-2028
TS 97 WJ 2589,no,0,Silver,14-10-2026,09-12-2025,Oriental Insurance,Hyundai,ACTIVE,02-02-2017,TS,2002,personal,29-08-2031
CG 69 PP 9260,yes,7,Red,08-06-2033,18-07-2026,Bajaj Allianz,Toyota,ACTIVE,08-06-2016,CG,2002,personal,06-04-2032
JH 25 ED 1336,yes,1,Blue,23-03-2029,27-10-2025,New India Assurance,Hyundai,ACTIVE,11-06-2019,JH,2000,personal,10-10-2027
AP 10 NQ 4162,no,0,Black,25-12-2025,31-05-2025,Future Generali,Hyundai,ACTIVE,16-02-2015,AP,2014,personal,24-05-2028
GA 90 LC 7639,yes,8,Yellow,27-06-2029,14-03-2031,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,12-01-2020,GA,2004,personal,03-03-2032
HR 95 JD 8041,yes,8,Blue,01-06-2028,07-07-2028,Bajaj Allianz,Honda,ACTIVE,10-10-2019,HR,2021,commercial,04-12-2024
MN 15 JF 3967,no,0,Yellow,07-03-2032,18-04-2033,Oriental Insurance,Tata Motors,ACTIVE,23-10-2017,MN,2006,personal,14-01-2031
JK 75 RU 2073,yes,3,Silver,04-02-2031,10-04-2030,Oriental Insurance,Maruti Suzuki,ACTIVE,14-02-2016,JK,2020,personal,29-12-2025
HR 23 QR 9747,no,0,Blue,13-04-2032,23-06-2030,SBI General,Maruti Suzuki,ACTIVE,02-01-2022,HR,2016,personal,24-03-2031
JH 18 XZ 3807,yes,6,Green,30-10-2031,07-11-2028,Reliance General,HERO MOTOCORP LTD,ACTIVE,31-12-2020,JH,2011,personal,30-06-2025
CG 89 EC 3970,yes,10,Silver,12-12-2028,23-04-2024,Bajaj Allianz,Toyota,DEACTIVE,28-08-2022,CG,2001,commercial,01-10-2024
BR 98 ZV 3818,yes,2,White,10-06-2029,12-02-2028,HDFC ERGO,Hyundai,ACTIVE,13-01-2018,BR,2012,commercial,12-05-2025
GA 98 UW 8050,no,0,Yellow,24-11-2028,22-05-2030,Oriental Insurance,Toyota,DEACTIVE,25-04-2015,GA,2003,personal,13-02-2030
WB 63 FD 4415,no,0,Black,08-10-2030,10-10-2025,United India Insurance,Hyundai,ACTIVE,18-10-2022,WB,2018,commercial,12-06-2029
TR 86 LN 7573,no,0,Green,23-02-2025,23-01-2025,SBI General,Maruti Suzuki,ACTIVE,26-03-2014,TR,2012,personal,26-06-2029
TR 84 JX 1185,no,0,Blue,01-10-2028,12-08-2031,SBI General,Honda,DEACTIVE,16-07-2022,TR,2000,commercial,17-07-2024
BR 39 ZT 7967,yes,1,Blue,24-08-2026,06-08-2026,Bajaj Allianz,Hyundai,DEACTIVE,06-05-2021,BR,2003,personal,23-02-2030
RJ 58 VO 9185,yes,10,Black,23-10-2032,08-04-2033,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,28-06-2023,RJ,2010,commercial,09-02-2032
JH 91 VL 4494,no,0,Silver,03-02-2025,20-01-2025,Reliance General,HERO MOTOCORP LTD,ACTIVE,09-07-2010,JH,2001,personal,14-10-2028
AP 87 ZV 2405,no,0,White,16-11-2024,18-02-2026,Bajaj Allianz,Honda,ACTIVE,13-01-2022,AP,2002,personal,19-11-2023
MN 86 RM 3413,yes,4,White,16-07-2029,03-02-2028,Oriental Insurance,Tata Motors,DEACTIVE,07-05-2023,MN,2023,personal,13-04-2028
GJ 19 JR 1577,yes,1,Black,15-06-2032,15-01-2027,HDFC ERGO,Toyota,ACTIVE,19-01-2010,GJ,2017,personal,17-01-2033
JK 38 KZ 9500,no,0,Yellow,18-08-2025,08-11-2028,Reliance General,Maruti Suzuki,DEACTIVE,12-05-2017,JK,2006,personal,17-12-2028
TR 74 ZV 1135,yes,6,Black,17-04-2025,28-01-2030,United India Insurance,Maruti Suzuki,DEACTIVE,02-08-2019,TR,2021,personal,04-05-2032
CG 29 ZK 8983,yes,1,Blue,17-02-2029,14-07-2031,Bajaj Allianz,Toyota,ACTIVE,20-02-2022,CG,2006,commercial,01-01-2030
GA 56 MY 1444,yes,2,White,11-08-2031,13-07-2024,New India Assurance,Maruti Suzuki,DEACTIVE,25-11-2014,GA,2007,commercial,18-04-2027
SK 57 PN 8675,no,0,Yellow,18-03-2029,07-11-2030,Reliance General,HERO MOTOCORP LTD,DEACTIVE,26-09-2019,SK,2018,personal,25-08-2027
KA 32 TM 5791,no,0,Red,19-07-2030,20-05-2031,Tata AIG,Tata Motors,ACTIVE,19-08-2014,KA,2013,commercial,01-03-2033
TN 18 BH 3519,no,0,Yellow,09-03-2032,08-01-2024,Tata AIG,HERO MOTOCORP LTD,ACTIVE,10-04-2019,TN,2011,commercial,28-01-2025
MZ 18 KH 5096,no,0,Blue,07-11-2027,08-10-2026,United India Insurance,Hyundai,ACTIVE,27-08-2011,MZ,2005,personal,05-04-2033
MZ 60 DT 6183,no,0,Green,04-12-2030,05-07-2031,United India Insurance,Maruti Suzuki,DEACTIVE,01-05-2021,MZ,2004,personal,23-05-2028
UP 34 PO 1737,yes,4,Green,10-07-2028,28-08-2030,Future Generali,Maruti Suzuki,ACTIVE,16-10-2012,UP,2020,personal,21-09-2027
GA 15 VR 2057,no,0,Yellow,05-10-2030,27-05-2033,Tata AIG,Tata Motors,ACTIVE,20-05-2010,GA,2006,personal,19-06-2029
OD 82 TW 1601,yes,8,Green,05-10-2029,02-01-2028,ICICI LOMBARD,Toyota,ACTIVE,12-11-2012,OD,2002,personal,16-02-2033
PB 57 TV 9777,no,0,White,13-05-2028,19-01-2025,Oriental Insurance,Maruti Suzuki,ACTIVE,12-09-2014,PB,2012,personal,19-06-2024
CG 98 BT 9236,yes,5,Silver,22-08-2023,04-11-2030,Oriental Insurance,Hyundai,DEACTIVE,18-12-2012,CG,2023,personal,03-06-2031
JK 98 YN 7437,no,0,Silver,06-09-2032,26-06-2025,Future Generali,Maruti Suzuki,DEACTIVE,28-08-2011,JK,2012,personal,27-06-2033
HP 61 RQ 7073,yes,5,Silver,18-01-2024,16-07-2029,Oriental Insurance,Hyundai,DEACTIVE,20-08-2012,HP,2008,commercial,29-07-2026
CG 34 XB 1112,yes,8,Silver,06-07-2025,03-10-2026,HDFC ERGO,Honda,ACTIVE,10-10-2015,CG,2009,personal,07-04-2029
GJ 99 JC 7587,no,0,Black,01-02-2024,15-12-2023,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,29-01-2018,GJ,2010,personal,29-09-2027
TR 29 RO 5710,no,0,Blue,27-10-2028,02-04-2024,HDFC ERGO,Maruti Suzuki,DEACTIVE,02-03-2016,TR,2010,commercial,05-07-2026
SK 61 EY 6732,yes,9,Red,17-10-2029,28-04-2025,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,19-02-2012,SK,2007,commercial,22-01-2027
UK 82 WS 9082,yes,6,Red,28-02-2031,25-05-2030,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,27-08-2018,UK,2005,personal,14-08-2027
TN 49 DM 5080,no,0,Silver,19-04-2028,08-12-2028,New India Assurance,Hyundai,ACTIVE,20-09-2011,TN,2002,commercial,10-08-2032
AS 59 RC 5775,no,0,Green,06-06-2024,25-09-2024,Future Generali,Tata Motors,DEACTIVE,08-11-2016,AS,2005,commercial,07-07-2028
BR 33 WV 1367,no,0,Green,17-05-2027,23-05-2030,Reliance General,Honda,DEACTIVE,27-09-2019,BR,2006,personal,15-06-2031
ML 67 ZX 5023,yes,5,Red,09-07-2025,26-10-2031,Tata AIG,Honda,ACTIVE,03-07-2015,ML,2022,commercial,08-12-2028
MN 14 GH 2917,yes,6,Silver,10-05-2033,11-10-2028,Future Generali,HERO MOTOCORP LTD,DEACTIVE,10-02-2014,MN,2014,personal,18-07-2031
RJ 61 BD 5083,no,0,Red,08-07-2024,23-06-2024,Tata AIG,Tata Motors,DEACTIVE,07-09-2011,RJ,2002,commercial,20-01-2024
HR 99 DI 4614,no,0,Yellow,02-02-2028,15-05-2025,Reliance General,HERO MOTOCORP LTD,DEACTIVE,15-05-2022,HR,2016,commercial,29-11-2023
GJ 64 WW 6137,yes,2,White,11-01-2030,28-09-2028,HDFC ERGO,Toyota,ACTIVE,30-01-2011,GJ,2011,commercial,15-05-2028
KA 99 BJ 7352,yes,3,Green,28-08-2027,20-08-2026,Reliance General,HERO MOTOCORP LTD,DEACTIVE,22-08-2014,KA,2000,personal,04-01-2024
JH 12 BK 9357,no,0,Red,07-05-2033,01-04-2033,Bajaj Allianz,Tata Motors,DEACTIVE,02-05-2016,JH,2018,commercial,11-03-2025
GJ 52 TV 8041,yes,8,Blue,14-06-2025,07-09-2029,Oriental Insurance,Maruti Suzuki,DEACTIVE,24-06-2022,GJ,2003,commercial,25-09-2031
GJ 95 LC 7725,yes,4,Black,07-03-2031,01-01-2028,ICICI LOMBARD,Maruti Suzuki,ACTIVE,25-03-2023,GJ,2019,commercial,29-10-2032
AP 59 TY 7350,yes,5,Red,16-03-2027,25-03-2032,HDFC ERGO,Hyundai,ACTIVE,10-12-2020,AP,2015,commercial,18-08-2027
JH 55 WE 6680,no,0,Green,05-10-2026,21-06-2028,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,21-06-2017,JH,2010,personal,27-01-2030
MH 61 ZO 3612,no,0,White,28-08-2024,28-03-2027,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,18-10-2018,MH,2016,personal,16-08-2029
TN 81 PK 6344,no,0,Black,31-05-2027,21-10-2032,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,10-10-2016,TN,2017,commercial,17-06-2031
TN 42 BG 9605,yes,8,Blue,09-07-2029,13-01-2027,United India Insurance,Maruti Suzuki,ACTIVE,08-03-2012,TN,2001,personal,01-10-2026
JK 14 YP 3926,no,0,White,22-09-2030,27-01-2025,New India Assurance,HERO MOTOCORP LTD,ACTIVE,03-11-2022,JK,2015,commercial,30-05-2024
AS 78 WD 9863,yes,1,Green,05-02-2031,07-01-2029,New India Assurance,Toyota,ACTIVE,17-03-2012,AS,2015,personal,09-06-2026
AR 99 DO 2675,yes,4,Silver,01-03-2032,17-06-2030,New India Assurance,Maruti Suzuki,DEACTIVE,27-02-2014,AR,2016,personal,20-11-2028
UK 61 XR 3145,no,0,Yellow,12-11-2032,16-09-2028,Tata AIG,Maruti Suzuki,ACTIVE,15-05-2023,UK,2010,personal,26-12-2028
JK 55 JA 8912,no,0,Blue,22-12-2023,19-07-2027,United India Insurance,Hyundai,DEACTIVE,29-05-2020,JK,2017,commercial,15-03-2028
AP 56 GN 8310,yes,7,Blue,16-08-2024,11-11-2029,New India Assurance,Toyota,DEACTIVE,06-12-2022,AP,2016,commercial,11-12-2028
OD 85 AP 1153,no,0,White,13-12-2027,17-08-2027,Bajaj Allianz,Toyota,ACTIVE,25-08-2019,OD,2022,personal,11-03-2027
OD 88 MQ 3750,yes,10,Green,27-07-2024,19-11-2025,New India Assurance,Toyota,ACTIVE,06-07-2013,OD,2008,personal,02-06-2024
AS 63 HX 8377,yes,1,Red,21-11-2031,05-07-2029,Bajaj Allianz,Honda,DEACTIVE,14-03-2023,AS,2002,commercial,23-06-2029
OD 39 QY 6211,yes,9,Yellow,15-02-2024,20-10-2027,Oriental Insurance,Toyota,ACTIVE,23-11-2010,OD,2002,personal,01-06-2027
TS 99 MK 8455,yes,3,Red,03-03-2033,01-03-2030,ICICI LOMBARD,Hyundai,DEACTIVE,06-08-2014,TS,2020,commercial,21-01-2028
BR 37 DC 6085,yes,5,Green,14-03-2025,24-07-2025,Future Generali,Honda,DEACTIVE,07-06-2017,BR,2001,personal,27-04-2029
MN 35 XP 7890,yes,4,Blue,16-04-2024,25-01-2024,Tata AIG,Toyota,ACTIVE,30-04-2017,MN,2002,commercial,27-06-2032
MP 90 BT 1522,no,0,Red,02-01-2031,05-02-2030,Future Generali,Maruti Suzuki,ACTIVE,14-01-2015,MP,2020,personal,18-05-2030
JH 30 PA 8272,no,0,Yellow,01-12-2029,20-04-2029,Reliance General,Honda,ACTIVE,07-07-2018,JH,2012,personal,21-03-2032
TS 24 EL 8523,yes,2,Yellow,04-09-2029,19-11-2025,Future Generali,Maruti Suzuki,DEACTIVE,03-11-2018,TS,2016,commercial,05-05-2031
GJ 81 NP 6558,yes,6,Yellow,26-03-2024,01-07-2027,Oriental Insurance,Tata Motors,DEACTIVE,04-01-2019,GJ,2014,commercial,07-03-2032
HR 35 AJ 2276,yes,3,Silver,01-06-2032,04-08-2028,United India Insurance,Tata Motors,DEACTIVE,10-07-2012,HR,2018,commercial,11-05-2027
RJ 10 FG 3152,yes,9,Green,28-12-2030,09-09-2026,United India Insurance,Honda,ACTIVE,09-05-2013,RJ,2002,commercial,29-04-2025
AR 86 HO 3658,yes,6,Yellow,08-02-2030,20-01-2031,HDFC ERGO,Maruti Suzuki,ACTIVE,26-11-2022,AR,2020,commercial,20-05-2028
MH 73 GJ 5332,no,0,Green,28-11-2025,03-09-2026,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,01-04-2010,MH,2017,commercial,23-07-2024
UK 24 MT 3352,no,0,Red,25-07-2030,05-04-2032,ICICI LOMBARD,Hyundai,DEACTIVE,28-03-2013,UK,2015,commercial,03-10-2026
JK 22 IY 3016,yes,7,Silver,23-08-2028,04-06-2031,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,17-09-2019,JK,2023,personal,01-04-2030
UK 74 IQ 7982,yes,3,Blue,30-04-2025,01-04-2030,Tata AIG,Maruti Suzuki,DEACTIVE,19-12-2015,UK,2007,personal,04-02-2032
MH 11 RL 9821,yes,3,White,21-07-2026,01-11-2030,Future Generali,Maruti Suzuki,DEACTIVE,08-06-2016,MH,2015,personal,13-11-2028
UP 17 RD 9659,yes,1,Green,28-07-2025,10-08-2027,New India Assurance,Toyota,ACTIVE,30-03-2018,UP,2013,commercial,13-07-2029
ML 33 BW 8164,no,0,Yellow,27-04-2027,16-06-2027,New India Assurance,Honda,DEACTIVE,17-07-2023,ML,2008,personal,24-05-2024
NL 38 UI 5473,no,0,Blue,13-03-2028,21-06-2033,Reliance General,Toyota,ACTIVE,26-05-2013,NL,2001,commercial,19-09-2029
GA 94 IO 7136,no,0,White,07-09-2026,08-12-2023,New India Assurance,Hyundai,ACTIVE,15-03-2018,GA,2016,commercial,07-08-2028
TS 31 AU 7740,no,0,Yellow,17-02-2033,26-09-2023,SBI General,Tata Motors,DEACTIVE,10-04-2014,TS,2016,commercial,30-08-2032
NL 63 OV 5724,yes,10,Red,16-09-2023,12-11-2032,HDFC ERGO,Maruti Suzuki,DEACTIVE,27-08-2017,NL,2021,personal,17-07-2029
GJ 10 ZH 4808,yes,8,Red,31-01-2025,24-06-2032,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,01-08-2022,GJ,2015,commercial,11-11-2024
MH 54 AH 5813,yes,3,Yellow,21-12-2028,27-11-2031,HDFC ERGO,Hyundai,ACTIVE,22-08-2015,MH,2015,commercial,17-12-2024
MZ 80 JS 9569,yes,8,Silver,06-03-2029,27-04-2029,ICICI LOMBARD,Toyota,DEACTIVE,28-02-2016,MZ,2014,personal,14-12-2023
PB 17 EB 3727,no,0,Silver,05-03-2032,14-04-2025,SBI General,Hyundai,ACTIVE,12-07-2012,PB,2000,commercial,11-04-2024
TS 52 EG 1833,no,0,Blue,08-07-2027,16-08-2024,HDFC ERGO,Tata Motors,ACTIVE,09-12-2020,TS,2013,commercial,10-11-2027
WB 51 ZP 1607,yes,1,White,25-10-2031,29-06-2026,Oriental Insurance,Honda,DEACTIVE,24-03-2019,WB,2014,personal,09-01-2033
MN 62 UB 2478,no,0,Green,19-07-2031,18-06-2031,United India Insurance,Honda,ACTIVE,04-03-2015,MN,2019,commercial,27-03-2031
